stop_id,stop_feature
110112,4200
110116,4200
17,5100
18,5100
537,5100
765,5100
896,5100
988,5100
2067,5100
2099,5100
2842,5100
2843,5100
2845,5100
2846,5100
2847,5100
2848,5100
2849,5100
2850,5100
2851,5100
2852,5100
2853,5100
2854,5100
2855,5100
2856,5100
2857,5100
2858,5100
2859,5100
2860,5100
2861,5100
2862,5100
2864,5100
2865,5100
2867,5100
2868,5100
2869,5100
2870,5100
2871,5100
2872,5100
2873,5100
2874,5100
2875,5100
2876,5100
2877,5100
2878,5100
2879,5100
2880,5100
2881,5100
2882,5100
2883,5100
2884,5100
2885,5100
2886,5100
2887,5100
2888,5100
2889,5100
2890,5100
2891,5100
2892,5100
2893,5100
2897,5100
2898,5100
2899,5100
2900,5100
2901,5100
2902,5100
2903,5100
2904,5100
2905,5100
2906,5100
2907,5100
2908,5100
2909,5100
2910,5100
110012,5100
110016,5100
110020,5100
110024,5100
110028,5100
110032,5100
110036,5100
110040,5100
110048,5100
110052,5100
110056,5100
110084,5100
110088,5100
110092,5100
110096,5100
110100,5100
110108,5100
110112,5100
110116,5100
