stop_id,stop_feature
1,1100
12,1100
17,2100
18,2100
50,1100
52,1100
63,1100
67,1100
69,1100
70,1000
135,2100
174,1100
175,1100
183,1100
185,2100
196,1100
197,1100
241,1100
244,1000
255,1100
260,2100
277,1100
292,1100
374,2100
434,2100
438,1100
468,2100
471,1100
477,2100
537,1100
546,1100
547,1100
552,1100
555,1100
564,2100
568,1100
594,2100
595,1100
596,1100
597,1100
598,1100
599,1100
600,1100
601,1100
602,1100
603,1100
605,1100
606,1100
607,1100
608,1100
609,1100
611,1100
612,1100
614,1100
615,1100
616,1100
617,1100
623,2100
627,2100
628,1100
629,1100
634,1100
651,2100
655,1100
699,1100
709,1100
725,2100
726,1100
737,1100
741,1100
747,1100
748,2100
755,1100
760,1100
765,1100
767,2100
772,2100
781,2100
784,1100
793,1000
796,2100
797,1100
799,2100
800,1100
821,1100
825,2100
828,1100
832,2100
838,2100
839,1100
840,1100
843,2100
845,2100
850,1100
851,1100
852,1100
856,2100
857,1100
862,1100
864,1100
871,2100
875,2100
877,1100
882,1100
896,1100
910,1100
918,1100
921,1100
924,1100
946,1100
949,1100
954,2100
962,1100
963,1100
969,1100
973,1100
987,1100
988,1100
1006,1100
1015,1100
1016,1100
1058,1100
1069,1100
1074,1100
1083,1100
1089,1100
1107,1100
1109,1100
1122,1100
1138,1100
1183,1100
1185,1100
1204,1100
1223,1100
1230,1100
1235,1100
1239,1100
1246,1100
1262,1100
1264,1100
1275,1100
1294,2100
1296,1100
1298,2100
1306,1100
1312,1100
1314,1100
1319,1100
1324,1100
1332,1100
1339,1100
1341,1100
1382,1100
1384,1100
1426,1100
1441,1100
1444,1100
1448,1100
1470,1100
1475,1100
1478,2100
1485,1100
1489,1100
1529,1100
1536,1100
1541,1100
1549,2100
1554,2100
1556,1100
1559,1100
1561,1100
1604,1100
1607,1100
1614,1100
1617,1100
1624,1100
1625,2100
1645,1100
1651,1100
1653,1100
1655,1100
1670,1100
1695,1100
1757,1100
1774,1100
1783,1100
1895,1100
1937,1100
1938,1100
1942,1100
1982,1100
1988,2100
2003,1100
2017,2100
2020,1100
2022,2100
2064,1100
2067,1100
2068,1100
2070,1100
2071,1100
2090,1100
2099,1100
2143,1100
2149,2100
2161,2100
2184,2100
2188,2100
2209,2100
2211,2100
2216,1100
2226,1100
2230,2100
2239,1100
2251,2100
2260,2100
2264,2100
2297,1100
2454,2100
2462,1100
2466,2100
2467,2100
2469,1100
2478,1100
2520,1100
2521,1100
2554,1100
2562,1100
2573,1100
2575,1100
2579,1100
2584,1100
2592,1100
2595,1100
2598,1100
2599,1100
2602,1100
2609,1000
2628,1100
2638,1100
2646,2100
2669,1100
